,budget,popularity,release_date,revenue,runtime,title,vote_average,vote_count,month,Action,Adventure,Fantasy,Animation,Science Fiction,Drama,Thriller,Family,Comedy,History,War,Western,Romance,Crime,Mystery,Horror,Music,Documentary,Foreign,warner,universal,paramount,walt_disney,sony,Number_Genres
2275,27220000,28.060471999999997,2013-07-18,5496951,105.0,The Frozen Ground,6.1,465,07,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2276,19400000,20.746932,2006-12-09,0,125.0,The Painted Veil,7.1,312,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2277,27000000,7.727035000000001,2008-09-24,0,150.0,The Baader Meinhof Complex,7.1,157,09,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
2278,22000000,45.707834999999996,1990-11-09,424208848,181.0,Dances with Wolves,7.6,1046,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2279,20000000,28.497242,2011-05-16,216197492,92.0,Bad Teacher,5.4,1584,05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2280,19000000,11.47316,1989-09-15,110879513,113.0,Sea of Love,6.7,141,09,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3
2281,19000000,25.28132,2004-07-10,70067909,95.0,A Cinderella Story,6.1,713,07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2282,14000000,45.996109999999994,1996-12-20,173046663,111.0,Scream,7.0,1476,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3
2283,0,20.392858,2001-10-26,0,91.0,Thir13en Ghosts,5.4,440,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2
2284,19000000,78.699993,1980-05-22,44017374,144.0,The Shining,8.1,3757,05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
2285,19000000,76.60323299999999,1985-07-03,381109762,116.0,Back to the Future,8.0,6079,07,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2286,19000000,13.664614000000002,1999-10-29,40846082,93.0,House on Haunted Hill,5.5,209,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
